Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Dominica,DMA,5.3,4.2,2.9,5.2,5,8.5,6.9,10.8,11.3,10.1,9.5,7.7
Denmark,DNK,8312.6,8536.3,9023.1,9283.4,9843.7,10395.9,11590,12675.1,13053.1,14022,14052.6,13470.7
Dominican Republic,DOM,16.9,16.9,18.2,18.2,15.5,18.1,20.5,25.9,38.9,40.6,35.3,30.1
Algeria,DZA,932.6,1287.5,1405.7,1742,2126.3,2137.4,2461,3063.4,3538.9,3679.5,4102.8,4447.1
East Asia & Pacific (excluding high income),EAP,172305.5148,199116.7064,226454.8525,264004.6386,307263.3049,338335.108,359787.4753,359540.3674,393342.4609,426884.3211,448409.8374,469078.4291
Early-demographic dividend,EAR,102055.0058,116971.2088,130034.9969,143697.5528,161699.812,180301.6247,206491.3392,222901.8034,240146.8868,262111.1504,272830.9886,288419.0021
East Asia & Pacific,EAS,381745.1206,420147.0248,456740.8775,498811.8186,550007.8203,591605.6774,624494.6714,627777.9077,666578.114,702708.395,716134.2222,728815.1292
Europe & Central Asia (excluding high income),ECA,68946.41625,65744.00133,71709.93845,76186.9,83044.3,88025.2,93024.3,96738.3,103677.8,108852.4,118808.9,124730.6
Europe & Central Asia,ECS,545821.9186,565238.1167,596147.6065,621352.9119,652018.0001,671191.0076,702953.6568,734248.052,754879.0392,775796.1205,772776.9272,758302.8656
Ecuador,ECU,126.2,123.4,140.9,152,181.9,190,168.6,253.5,270.2,409.1,666,1096.1
"Egypt, Arab Rep.",EGY,3600,3958.3,4512.1,4918.8,6105.2,6665.5,7426.6,8514.4,8949.2,9311.2,9830.6,10807
Euro area,EMU,308140,323375.6,340977.2,356900.3,374452.4,383324.6,400246,418311.2,426446.1,436168.2,424197.8,410882.8
Eritrea,ERI,12.8,17.4,16.5,10,7,11.7,13.3,5.2,10.6,7.5,9.7,8.5
Spain,ESP,35673.9,39270.5,42014.7,43958.6,47326.9,49035.6,52355.1,55108.1,55736.4,57075.8,54794.2,52820.7
Estonia,EST,715.5,853.7,1014.9,1118,1128,1407.1,1381.7,1475,1506.4,1675.2,1604.2,1481.7
Ethiopia,ETH,220.5,272,309.1,342.9,413,451.1,513.5,710.6,842.4,1025,1020.8,1121
European Union,EUU,459901.1,480818.1,506962.8,528948.8,553592.5,568066.2,593001.5,619018.3,632209,646623,635063.2,613774.3
Fragile and conflict affected situations,FCS,1748.179004,2055.300107,2193.896431,2478.407801,2801.548128,3333.307208,3458.56213,3859.633825,4133.873355,4358.858408,4418.787163,5134.602837
Finland,FIN,9037.7,9204,9413.7,9579.8,9921.3,9976.6,10345.3,10488.1,10824.1,11220,10752.7,10545.1
Fiji,FJI,58.8,75,85.8,63.3,68,62.6,62.1,67.6,89.5,123.2,99.4,154.9
France,FRA,59581.4,62448,64476.8,67209.2,69380.8,70177.1,72035.5,74413.7,75266,75017.4,72224.4,69430.8
Faroe Islands,FRO,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,6,2,7.1,4.3,2.9,8.2,4.9,4.5,5.9,3.2,4.3,2.7
Gabon,GAB,43.1,42.6,34.1,42.9,50.4,43.7,57.3,52,50.6,60.1,60.3,59.2
United Kingdom,GBR,84993.1,88060.9,91352.4,92000.6,94757.4,95488.8,98479.6,101367,103051,102970.6,101407,97526.9
Georgia,GEO,377,357.5,307.4,350.1,406.6,346.4,463.2,441.4,473.4,486.1,492,579.4
Ghana,GHA,191.1,195.1,249,269.2,336.2,367.3,439.3,549.5,603.7,662.2,794.8,982.1
Gibraltar,GIB,,,,,,,,,,,,
Guinea,GIN,7,18.9,15.1,11.8,12,11.4,11.2,11.6,11.3,23.8,27.3,38
"Gambia, The",GMB,36,46.1,36.2,41.7,40.2,44.7,33.8,37.3,45.1,49.2,42.7,46.5
Guinea-Bissau,GNB,9.4,5.7,12.1,7.3,8.3,5.8,10.4,12.8,12,17.9,10.3,11.5
Equatorial Guinea,GNQ,1.5,3.7,3.8,2.4,4.8,4,2.2,2.8,2.3,2.2,5.1,7.4
Greece,GRC,9248.9,10684,11041,11774.1,12118,11954.3,11967.4,11980.5,11923.4,11752.7,11195.8,10725.4
Grenada,GRD,5.7,14.1,20.4,23.8,19.5,15.6,26.7,28.1,35.8,55.5,31.5,34.3
Greenland,GRL,16.4,14.4,15.5,15.9,12.8,21.4,18.8,26.3,33.8,22.9,32.2,25.5
Guatemala,GTM,50.9,38.1,36.9,38.7,64.7,54.8,48.4,74.6,84.2,72.5,86,85.1
Guam,GUM,,,,,,,,,,,,
Guyana,GUY,18.2,10.1,13,12.1,10.2,20.6,9.7,12.4,11.7,12.1,8.8,13.7
High income,HIC,1143250.03,1185316.797,1230163.755,1260901.156,1303528.617,1342136.695,1400034.1,1443760.98,1467754.836,1495702.674,1463172.644,1411361.954
"Hong Kong SAR, China",HKG,,,,,,,,,,,,
Honduras,HND,15.2,13.4,12,16.7,16.4,24.1,18.9,25.6,19.8,27.7,31.4,33
Heavily indebted poor countries (HIPC),HPC,2280.866495,2565.649712,2982.971658,3125.075112,3457.2,3872.5,4405.002519,4827.342454,5312.367764,5999.086767,6329.34018,6825.070462
Croatia,HRV,3160,3124,3758,3976.4,4410.3,4421.2,4965.7,4813.5,4701.8,4473.8,4398.1,4056
Haiti,HTI,7.2,15.1,10.8,7.3,11.8,13.3,17.1,16.5,29,38.3,33.8,30.1
Hungary,HUN,5542,5530.3,5884.6,6408.5,6029.9,5870.6,6419.3,6570.6,6468,6858.9,6566.3,6207.6
IBRD only,IBD,359083.6289,403951.7585,451790.9426,514727.1182,582812.6,639692.2463,693961.6,717635.6,774591.5,838610.2,878444.7,917780.4
IDA & IBRD total,IBT,368467.4624,414764.491,464436.4583,528440.6423,598932.8931,657985.9762,713026.2928,738234.5269,797155.4206,862479.9107,902383.4269,943927.3478
IDA total,IDA,8812.324029,10170.75152,11929.33102,12890.62309,15192.08458,17278.7267,19064.76178,20599.17259,22564.22755,23869.9796,23938.88762,26147.24478
IDA blend,IDB,5499.519885,6422.990391,7475.37074,8110.146578,9822.768808,11140.5,12451.1,12979.4,14492.4,14871.4,14707,15919.7
Indonesia,IDN,545.3,619,613.8,678,1014,1344.6,1821.4,2027.8,2776.3,3465.2,5071.5,7728.7
IDA only,IDX,3284.680912,3713.544668,4415.118073,4737.768792,5316.070894,6078.008364,6613.608423,7619.987944,8071.959239,8998.876087,9232.255863,10227.99624
Isle of Man,IMN,,,,,,,,,,,,
India,IND,33215.8,38590.3,43624.9,48794.2,54667.1,62790.2,75337.3,82182.2,88942.4,100574.8,106663.4,110319.6
Not classified,INX,,,,,,,,,,,,
Ireland,IRL,4742.8,4857.3,5520.7,5786.7,6437.4,7035.7,7433.1,7182.9,7261.8,7374.5,6852.3,6834.4
"Iran, Islamic Rep.",IRN,7102.8,10072.5,13202.9,16841.7,20594.4,25208.6,31419.4,32195.1,33761.3,36310.9,36748.6,40974.5
Iraq,IRQ,139.5,244.5,231.7,304.3,361.8,554.8,653.7,843.3,853.4,865.5,897.3,1227.3
Iceland,ISL,354.7,361.6,364.4,431.3,497.1,567.5,553.3,636.3,594.7,589.5,611.7,651.8
Israel,ISR,10398.4,11040.4,11238.9,11366.8,11270.8,11014.4,11414.9,11916.3,11749.8,12265.8,12216.4,11892.7
Italy,ITA,47357.3,50159.4,53837.1,55940.8,58398.7,58805.7,60842.3,65276.2,68768.3,70780.7,70814.2,69125.2
Jamaica,JAM,135.8,141.2,173.4,208.6,204.8,187.8,215.5,223.8,195.9,160.1,144.5,134.8
Jordan,JOR,794.5,954.3,1086.1,1224.8,1294.1,1452.8,1464.7,1444.9,1520.6,1471.8,1509.8,1651.8
Japan,JPN,109662.2,110502.8,108760.8,106897.5,108237.4,108292.4,110570,109424.5,109257.9,106154.6,99812.4,96536.2
Kazakhstan,KAZ,241.2,215.1,213.8,226.8,270.4,324.4,382.7,478.9,1014.9,1065.5,1259.3,1563.8
Kenya,KEN,456.3,490.4,566,592.6,678.8,701.2,805,804.1,919.6,978.2,950.8,987.1
Kyrgyz Republic,KGZ,43.1,50,37.4,51.4,33.8,34.2,49.9,49.2,62.7,55.9,50.9,100.8
Cambodia,KHM,36.6,47.5,50.7,54.7,61.6,58.9,72,75.8,85.7,94.3,111.4,116.9
Kiribati,KIR,0,2.4,1.8,0,0.3,0.3,0,1,1.1,1.9,1.4,2.2
St. Kitts and Nevis,KNA,2,1.9,2,4.2,2.8,4.7,4.3,9.3,13.1,13.2,15.3,20.8
"Korea, Rep.",KOR,31646.6,36746.8,41521.7,44300.9,46020.6,50935.1,54716.8,57373.7,59205.9,62691.2,64523.1,63063
Kuwait,KWT,620.5,646.4,711.4,756.8,776.5,748.6,800.2,830.6,878.7,794.4,874,738.6
Latin America & Caribbean (excluding high income),LAC,34299.07293,42477.8334,45815.19887,52508.34933,56441.90773,60603.5,64469.8,70806.5,73973.5,78462.5,78431.2,79294.7
Lao PDR,LAO,23.3,40,27.5,35,40.7,44.5,48,59.9,72.3,55.7,68.6,85.1
Lebanon,LBN,552.6,635,652.5,717.7,762.6,790.4,888,1023.3,1096.3,1219.5,1278.1,1397.9
Liberia,LBR,1.3,4.7,2.8,2.4,4.7,3.4,8.3,9.8,9,11.8,16.6,16.6
Libya,LBY,76.6,92,109.9,129,229.4,301.9,126.9,158.5,218.5,199,172,138.7
St. Lucia,LCA,2.4,3.4,2,0.7,0,2.8,5,1.3,2.7,0.2,2.8,4.7
Latin America & Caribbean,LCN,43035.19801,52542.98013,56377.68183,64292.72011,69191.37704,74055.02336,78870.54262,85998.93641,89260.86218,95529.58488,95423.48972,96586.33273
Least developed countries: UN classification,LDC,2677.574845,3108.016959,3706.611494,3898.61563,4449.963645,5043.211169,5460.689731,6299.171639,6737.571495,7633.540051,7684.66108,8406.958196
Low income,LIC,2103.70557,2408.463652,2723.800786,2701.3203,2991.920421,3398.536895,3707.2,4153.5,4493,5166.4,5331.7,5493.8
Liechtenstein,LIE,33.6,34.4,24.6,39,25.2,40.2,41.2,34.1,31.3,38.9,30.3,35.4
Sri Lanka,LKA,332.3,369.5,420.6,469.6,475.8,501.8,578.4,617.7,743.6,704.8,756.7,1032.9
Lower middle income,LMC,54296.58484,60948.05853,68703.86345,76798.53727,86929.95915,98766.72435,115574.4978,125875.4354,137416.1334,151906.6739,161112.5138,172760.3659
Low & middle income,LMY,338492.7039,382540.1438,430690.8063,491552.0806,560814.0762,618042.5085,670588.166,692884.553,749891.5595,811957.476,850897.4998,891992.7861
Lesotho,LSO,4.7,10.8,9.6,11.1,8.1,8.1,8.3,18.3,14,8.9,19.1,22.8
Late-demographic dividend,LTE,273108.2776,306080.99,342010.1375,393446.5337,445779.7926,487152.113,518635.1841,529262.3951,572143.1896,617702.7709,648011.3655,673760.4106
Lithuania,LTU,1476.8,1676.7,1578.5,2493,2264.8,2345.5,2456.6,2310.5,2319.2,2471.7,2460.5,2181.2
Luxembourg,LUX,142.2,198.4,211.1,309.7,389,461.3,586.8,595.6,772.2,865.7,797.9,817.9
Latvia,LVA,435.3,366.5,474.3,585.3,681.7,767.1,1274.3,1194.4,1235.3,1162.3,1476.1,1256.8
"Macao SAR, China",MAC,,,,,,,,,,,,
St. Martin (French part),MAF,,,,,,,,,,,,
Morocco,MAR,917.1,983.5,1043.4,1214.3,1470,1659.5,2007.5,2298.1,2506.2,3175.5,3156.6,4062.5
Monaco,MCO,36.5,34.3,30.1,35.4,41.8,40.9,49,30.4,36.5,40.2,41.1,39.7
Moldova,MDA,203.7,143.5,147,164.8,199.3,172.3,203.2,231,231,239.3,193.6,295.4
Madagascar,MDG,56.2,62.4,104.2,81.5,86.2,81.2,98,93.2,118,122,120.4,102.8
Maldives,MDV,3.2,4.1,4.8,0.9,3,2.8,6.7,8.9,5,8.9,6.2,4.9
Middle East & North Africa,MEA,30480.97315,35926.58678,40831.85074,46877.808,54016.88759,61153.54317,71419.68182,76642.59059,81837.32038,87823.78868,90667.54292,98012.05638
Mexico,MEX,8286,9322,9492.1,10476.3,10747.8,11436.3,11959,12746.5,13469.6,14587.8,14485.4,14529.4
Marshall Islands,MHL,1.8,3.8,1.1,1.6,1.7,1.5,1.5,1.5,1.3,1.2,2.6,1.3
Middle income,MIC,335854.6338,379528.0688,427287.5308,488068.7229,556928.5064,613660.8471,666932.1175,688783.6591,745455.4954,806852.4953,845630.2273,886566.5977
"Macedonia, FYR",MKD,238.9,219.9,284.2,293.9,355.9,346.1,434.3,496.1,505.6,556.7,576.4,483.1
Mali,MLI,39.7,63.6,67.8,67.5,73,79,88.1,87.2,65.1,73.6,70.2,87.3
Malta,MLT,77.1,81.5,109.4,177,157.7,184.5,201.5,250.5,265.3,297.3,302.2,320.4
Myanmar,MMR,51.1,29.7,38.2,58.4,87.6,56,96.4,42.9,36.7,46.6,76.4,110.8
Middle East & North Africa (excluding high income),MNA,16192.17821,20629.70099,25079.56569,30494.72942,36897.14461,43155.19994,51244.8146,54513.49803,57901.35168,62044.38846,63837.91044,71179.32223
Montenegro,MNE,,,64,66,67.3,106.8,133.7,162.1,198.8,219.3,206,257.8
Mongolia,MNG,37.4,49.2,111.9,89,102.1,93.4,104.9,132.2,169.2,122.2,103.5,112.3
Northern Mariana Islands,MNP,,,,,,,,,,,,
Mozambique,MOZ,35.8,43.3,40.5,49,58,45.8,73.9,60.6,67.9,85.3,102.6,100.6
Mauritania,MRT,10.5,7.3,9,5,7.3,6.6,13.3,12.7,16.2,12.8,13.8,19.7
Mauritius,MUS,66.8,61,59.1,70.2,79.4,87.8,63.5,108.4,120.3,122.6,121.5,156
Malawi,MWI,81.9,85,130.1,136.2,111.9,142.3,166.8,171.6,159.7,186.9,197,203.1
Malaysia,MYS,2433.6,3229.9,3903,6108.1,8035.2,11056.8,14003.8,14742.2,16291.1,17348.9,19088.7,20331.5
North America,NAC,426869.9495,432455.7088,441861.8925,445434.1699,454498.2888,466675.8981,482955.2853,492535.8021,495917.1433,501864.2711,489728.2697,466429.5514
Namibia,NAM,50.3,34.7,38.3,36,33.2,39,46.9,66,86.1,94.8,99.4,107.7
New Caledonia,NCL,,,,,,,,,,,,
Niger,NER,22.2,29.8,29.2,26.9,55.5,66.1,31.9,32,32.7,49.6,56.1,56.1
Nigeria,NGA,1660.5,2049.7,2297.2,2328.3,3001.9,3458.1,3783.5,3582.1,3809.3,3994.7,3742.8,3821.6
Nicaragua,NIC,20.4,32.1,22.6,32.7,29.1,33.5,32.9,34.4,28.6,37,26.6,35.6
Netherlands,NLD,23860.9,24460.6,25627.5,26534.5,28684.2,29226.9,30227.6,31501.2,32017.2,32354.9,31068.9,29949
Norway,NOR,6655.6,7093.3,7674.3,7948,8751,9056.1,9759.8,10357.5,10352.6,10703.8,10471.1,10725.7
Nepal,NPL,285.1,331.4,364.8,333.1,396.6,394.3,398,456.5,484.5,526.9,521.1,549.3
Nauru,NRU,0.5,0.3,0,0,0.7,0,0.7,0.5,0.3,0.4,0.3,0.7
New Zealand,NZL,5279.3,5607.4,6000.4,6277.4,6578.6,6844.5,7419.6,7675.9,7593.9,7834.7,7481.3,7464.7
OECD members,OED,1116750.4,1157048,1199544.4,1227560,1268562.7,1304358.3,1358791.4,1403318.2,1428729.2,1457037.2,1428235.4,1379721.3
Oman,OMN,317.3,332.1,392.7,383.4,426.2,477.3,598.8,587.5,667.3,705.8,774.1,795
Other small states,OSS,2198.212491,2515.006477,2768.95345,3155.800627,3417,4034.5,4149.962962,4722.174987,5312.734487,5837.264972,5793.145586,6185.217868
Pakistan,PAK,2321.6,2809.3,3363.3,4044.7,4917.3,5661.2,6444.9,7078.5,8078.1,8065.2,8337.2,9180.6
Panama,PAN,79.1,83.1,101.2,115.6,119.3,119.8,131.8,155.1,160.2,170.6,161.5,159.3
Peru,PER,235.2,294.4,315.9,365.1,420.4,474.7,572.3,602.3,681.9,761,910.2,1007.6
Philippines,PHL,424.2,410.3,467.8,528.6,588.4,684.3,882,854,961.8,1045,1384.7,1568.7
Palau,PLW,7,3.3,4.8,2.7,2.7,5.2,1.8,2.2,3.5,4.7,6.4,3.1
Papua New Guinea,PNG,33.4,38.2,55.7,59.1,42.9,53.3,47.5,62.6,54.3,64.3,59.7,54
Poland,POL,19830.2,21267.4,21568.8,23376.1,23470.8,24551.5,25857.5,28115,30064.1,31779.4,32766.5,32977.9
Pre-demographic dividend,PRE,4067.183694,4811.096619,5450.054544,5637.858079,6675.642486,7665.876982,8498,8593.8,9218.3,9903.3,9860.1,10488.4
Puerto Rico,PRI,527.9,662.6,639.6,671.2,639.7,705.2,631.2,624.3,577.6,621.3,585.8,566
"Korea, Dem. People’s Rep.",PRK,52.3,60,41.7,27.9,53.8,12.6,7.5,18.3,13.1,20.8,47.3,43.8
Portugal,PRT,5887.8,7136.2,7623.6,8655.6,9573,10625.1,11989.2,13102.6,14112.4,14666,14581.9,13773.2
Paraguay,PRY,28.8,29.1,31.1,32.3,35.1,36.2,56.2,57.9,61,67.7,97.5,96.4
West Bank and Gaza,PSE,,,,,,,,,,,,
Pacific island small states,PSS,91.62116857,111.4228321,113.7109795,83.48912809,93.9,100.9565285,95.63142961,93.20012208,119.2560702,160.4408991,148.1454283,199.8263909
Post-demographic dividend,PST,1078323.171,1112781.346,1153061.253,1177463.928,1215810.139,1248852.258,1300118.812,1339954.697,1360593.509,1383472.672,1351764.029,1301348.558
French Polynesia,PYF,,,,,,,,,,,,
Qatar,QAT,168.8,184.4,244.1,279.8,330.3,408.7,471.1,623.9,808.2,1106.6,1180.1,1310.7
Romania,ROU,3460.7,3522.9,5170,7367.8,9550.1,11010.2,10906.2,11061.6,11177,10800.6,11527.3,10193.5
Russian Federation,RUS,33091.8,29368.9,30319.7,31854.4,32620.2,33960.8,36157.3,36252.6,39714.7,44994.7,53060.6,59133.5
Rwanda,RWA,7.3,18,19.7,25.8,33.6,55.6,53.2,58.1,87.9,88.2,105.2,115.3
South Asia,SAS,36783.7,42850.1,48806.8,54780.4,61743.5,70899.2,84346.8,92449.7,100329.6,112303.2,118526.9,123754
Saudi Arabia,SAU,1734,1898,2011.6,2222.4,2836.4,3621.3,4957.5,5982.5,7410.5,8410.8,8885,9231.9
Sudan,SDN,100.9,108.3,140.6,169.5,227.4,258.1,298.4,270.4,359.2,242.5,255.2,368.8
Senegal,SEN,207.4,171.6,207.6,208.1,188,203.4,284.3,287.3,299,332.9,371.2,353
Singapore,SGP,7959.6,8204.6,8251.5,8688.5,8919.5,9853.9,10098.5,10809.3,10979.5,11145.3,11220.9,11253.8
Solomon Islands,SLB,2.6,6.6,4.3,2.9,3.4,7.9,7.5,5,4.3,6.6,10.9,14
Sierra Leone,SLE,6,5.1,5,7.9,9.1,12.2,11.1,14.8,15,21.7,34.3,48.2
El Salvador,SLV,14.7,18.2,14.5,20.9,16,18.7,17.8,19.4,14.7,19.9,21.8,28.5
San Marino,SMR,1.3,0.7,2.9,4.8,1.2,1.3,2.3,5.9,7,5.1,7.5,7.5
Somalia,SOM,0,1,0,1.1,2.8,3.2,2.9,1.4,6.3,6.2,4.5,3.3
Serbia,SRB,,,2843.1,3096.6,3710.7,4120.9,4919.6,6076.6,5472.3,5233.2,5072.3,5052.4
Sub-Saharan Africa (excluding high income),SSA,9970.130956,11251.66818,12216.03329,12888.18679,14661.65682,16214.12586,17861.42351,19005.1787,20837.27909,23587.87994,23054.72162,24184.94524
South Sudan,SSD,0,0,0,0,0,0,1.6,2.4,9.8,5.8,5.1,2.5
Sub-Saharan Africa,SSF,9975.076381,11260.76009,12228.46269,12898.9964,14668.31612,16226.04385,17871.32307,19014.97814,20853.17903,23597.47896,23073.72171,24197.34451
Small states,SST,2687.877226,3001.40847,3336.903181,3729.197317,4028.630691,4640.724727,4805.424215,5390.565524,5959.636361,6537.9825,6388.218762,6886.230711
Sao Tome and Principe,STP,0.3,1,1.3,0,1.3,2.2,0,0.5,1.2,0.7,1.4,0.9
Suriname,SUR,5.8,5.2,5.8,5.1,4.5,6.7,4.2,9.5,15.8,5.9,13.5,21.3
Slovak Republic,SVK,2548.8,2644.4,2800.2,3332.5,3164.3,3638.3,3899.5,4261.9,4616.6,5135.9,5205.7,5359.4
Slovenia,SVN,2334.9,2392.7,2754.2,3006.9,3221.1,3246.6,3780.4,3707.9,3726.1,3788.5,3631.6,3406.7
Sweden,SWE,16426.1,16633.8,16757.4,16630.1,17328.3,17730.5,18438.5,19422.4,20092.6,21130.1,20668.9,19937.1
Eswatini,SWZ,19.1,16.9,11.4,19.1,28.2,37.2,31.5,30.4,33.2,33.8,35,31
Sint Maarten (Dutch part),SXM,,,,,,,,,,,,
Seychelles,SYC,4.9,9,12.3,10.7,6.6,11.8,9.9,9.8,15.9,9.6,19,12.4
Syrian Arab Republic,SYR,140.9,128.9,153.8,200.1,162.2,228.4,268.9,302.8,265.9,245.1,270.3,273.2
Turks and Caicos Islands,TCA,,,,,,,,,,,,
Chad,TCD,7.6,10.7,5.2,6.9,9.3,6,8.4,6.2,7.3,8.7,12.4,11.5
East Asia & Pacific (IDA & IBRD countries),TEA,172255.3335,199054.3654,226411.537,263971.9593,307203.5,338318.1445,359771.5824,359514.0814,393321.7173,426856.1273,448356.2337,469024.4399
Europe & Central Asia (IDA & IBRD countries),TEC,91893.6659,90172.02114,97036.52782,103539.4,110925.4,116997.9,123847.5,129666.8,138443.7,145105.6,155973.5,161764.5
Togo,TGO,26,28.9,32.2,42.3,42.4,48.4,48.9,47.5,64.2,81.3,78,76.3
